iter	Passed	Remaining
1528	89028	27424
1529	89088	27367
1530	89143	27307
1531	89203	27250
1532	89259	27191
1533	89318	27133
1534	89373	27074
1535	89436	27017
1536	89492	26958
1537	89559	26902
1538	89618	26844
1539	89673	26785
1540	89728	26726
1541	89792	26669
1542	89854	26612
1543	89917	26556
1544	89972	26496
1545	90031	26438
1546	90090	26380
1547	90149	26322
1548	90202	26262
1549	90257	26203
1550	90323	26147
1551	90384	26090
1552	90449	26033
1553	90502	25974
1554	90562	25916
1555	90623	25859
1556	90685	25802
1557	90739	25742
1558	90802	25685
1559	90859	25627
1560	90913	25567
1561	90971	25509
1562	91028	25450
1563	91094	25394
1564	91150	25335
1565	91210	25278
1566	91270	25220
1567	91333	25163
1568	91392	25105
1569	91455	25048
1570	91514	24990
1571	91571	24931
1572	91627	24872
1573	91688	24815
1574	91750	24758
1575	91804	24698
1576	91864	24640
1577	91920	24582
1578	91978	24523
1579	92033	24464
1580	92093	24406
1581	92149	24348
1582	92209	24290
1583	92268	24232
1584	92324	24173
1585	92382	24114
1586	92439	24056
1587	92494	23997
1588	92548	23937
1589	92605	23879
1590	92667	23822
1591	92730	23765
1592	92784	23705
1593	92839	23646
1594	92896	23588
1595	92946	23527
1596	93005	23469
1597	93061	23411
1598	93119	23352
1599	93179	23294
1600	93239	23237
1601	93292	23177
1602	93355	23120
1603	93409	23061
1604	93469	23003
1605	93522	22943
1606	93584	22886
1607	93642	22828
1608	93700	22769
1609	93754	22710
1610	93815	22653
1611	93875	22595
1612	93932	22536
1613	93988	22478
1614	94043	22419
1615	94100	22360
1616	94166	22304
1617	94218	22244
1618	94277	22186
1619	94341	22129
1620	94400	22071
1621	94456	22012
1622	94513	21954
1623	94570	21895
1624	94629	21837
1625	94689	21779
1626	94748	21721
1627	94800	21662
1628	94858	21603
1629	94912	21544
1630	94969	21486
1631	95027	21427
1632	95090	21370
1633	95147	21312
1634	95203	21253
1635	95261	21195
1636	95319	21136
1637	95378	21078
1638	95438	21020
1639	95496	20962
1640	95556	20904
1641	95608	20845
1642	95666	20787
1643	95722	20728
1644	95780	20669
1645	95834	20610
1646	95892	20552
1647	95952	20494
1648	96013	20437
1649	96070	20378
1650	96128	20320
1651	96188	20262
1652	96243	20203
1653	96301	20145
1654	96354	20085
1655	96411	20027
1656	96467	19968
1657	96526	19910
1658	96582	19852
1659	96642	19794
1660	96697	19735
